problem_id,Baseline,Numbers,Names,Names and Numbers,NoOps,Irrelevant Information
1,0.0,3.0,0.0,1.0,1.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,1.0,2.0,2.0,1.0,0.0
4,0.0,4.0,0.0,0.0,0.0,1.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,1.0,0.0,1.0,0.0,0.0
7,1.0,5.0,1.0,3.0,4.0,2.0
8,1.0,5.0,5.0,5.0,5.0,5.0
9,1.0,5.0,5.0,3.0,4.0,5.0
10,0.0,1.0,0.0,1.0,1.0,1.0
11,0.0,0.0,0.0,0.0,0.0,0.0
12,1.0,2.0,4.0,0.0,5.0,4.0
13,0.0,0.0,0.0,0.0,0.0,0.0
14,1.0,5.0,5.0,5.0,5.0,5.0
15,1.0,5.0,4.0,5.0,5.0,5.0
16,0.0,1.0,0.0,1.0,0.0,0.0
17,0.0,3.0,2.0,2.0,3.0,3.0
18,0.0,5.0,5.0,3.0,2.0,5.0
19,0.0,1.0,0.0,0.0,1.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0
