experiment,variation,file_name,problem_id,file_idx,correct,correct_majvote
Baseline,Baseline,problem-0.json,0.0,0.0,True,True
Baseline,Baseline,problem-1.json,1.0,1.0,True,True
Baseline,Baseline,problem-10.json,10.0,10.0,True,True
Baseline,Baseline,problem-11.json,11.0,11.0,True,True
Baseline,Baseline,problem-12.json,12.0,12.0,False,False
Baseline,Baseline,problem-13.json,13.0,13.0,True,True
Baseline,Baseline,problem-14.json,14.0,14.0,False,False
Baseline,Baseline,problem-15.json,,,False,False
Baseline,Baseline,problem-16.json,16.0,16.0,True,True
Baseline,Baseline,problem-17.json,17.0,17.0,True,True
Baseline,Baseline,problem-18.json,18.0,18.0,True,False
Baseline,Baseline,problem-19.json,19.0,19.0,True,True
Baseline,Baseline,problem-2.json,2.0,2.0,True,True
Baseline,Baseline,problem-3.json,3.0,3.0,True,False
Baseline,Baseline,problem-4.json,4.0,4.0,True,True
Baseline,Baseline,problem-5.json,5.0,5.0,True,True
Baseline,Baseline,problem-6.json,6.0,6.0,True,True
Baseline,Baseline,problem-7.json,,,False,False
Baseline,Baseline,problem-8.json,8.0,8.0,False,False
Baseline,Baseline,problem-9.json,9.0,9.0,False,False
